"";"ibge";"dist.ilheus";"dist.ssa";"dist.min.ilh.ssa"
"149";"2907202";665,807596586865;522,548953110471;522,548953110471
"150";"2907301";233,310548822815;114,752951240191;114,752951240191
"151";"2907400";674,928320687222;696,691243027867;674,928320687222
"152";"2907509";282,711167031653;64,4885233965001;64,4885233965001
"153";"2907558";395,802960156116;434,963199756774;395,802960156116
"154";"2907608";524,448119864904;455,230845150395;455,230845150395
"155";"2907707";613,563380278835;413,286147794274;413,286147794274
"156";"2907806";480,097105637941;265,286895844872;265,286895844872
"157";"2907905";413,390418256605;199,780732219699;199,780732219699
"158";"2908200";255,45632986136;85,8182274466331;85,8182274466331
"159";"2908309";218,015396121462;99,9608553448857;99,9608553448857
"160";"2908408";365,495584267179;184,261130679197;184,261130679197
"161";"2908507";275,999316576629;77,7475884464214;77,7475884464214
"162";"2908606";361,723699964528;138,558362476649;138,558362476649
"163";"2908804";247,199383117276;317,301395217132;247,199383117276
"164";"2908903";289,117057352447;91,9405504340427;91,9405504340427
"165";"2909109";586,959852670379;663,368350789375;586,959852670379
"166";"2909208";516,863940912043;295,162935384187;295,162935384187
"167";"2909307";702,856796607488;769,132979796529;702,856796607488
"168";"2909406";668,674823187329;666,528111361692;666,528111361692
"169";"2909505";174,067313932407;168,438117202943;168,438117202943
"170";"2909604";377,846198693504;155,892573312694;155,892573312694
"171";"2909703";635,710789862699;649,947875264635;635,710789862699
"172";"2909802";236,003412739427;90,0011900726344;90,0011900726344
"173";"2909901";622,725468190489;433,00305827824;433,00305827824
"174";"2910057";258,108580809128;34,2545299004879;34,2545299004879
"175";"2910107";307,872692337744;381,818346389778;307,872692337744
"176";"2910206";211,226838570795;91,9641014027261;91,9641014027261
"177";"2910305";214,841557039522;130,67095236912;130,67095236912
"178";"2910503";321,864422051839;97,3216606621607;97,3216606621607
"179";"2910602";341,965049909368;117,560097863454;117,560097863454
"180";"2910701";481,404626467928;277,839615722554;277,839615722554
"181";"2910750";475,767926283515;256,425355255577;256,425355255577
"182";"2910800";290,552082175132;111,165048113473;111,165048113473
"183";"2910859";468,684215690927;312,865436213353;312,865436213353
"184";"2911105";841,795000602108;836,150193168267;836,150193168267
"185";"2911204";123,577386161519;158,985733528606;123,577386161519
"186";"2911253";374,094504245069;219,449242927958;219,449242927958
"187";"2911303";540,161641103304;494,163672049101;494,163672049101
"188";"2911402";625,517500253458;411,004206266608;411,004206266608
"189";"2911600";247,086901382026;89,0031591635339;89,0031591635339
"190";"2911857";456,890001725463;239,146440142549;239,146440142549
"191";"2911907";250,393368570967;194,56048802647;194,56048802647
