;ibge;road.dist;area.muni;dens.road
578;5006275;136856,6032;5034768116;2,72E-05
579;5006358;NA;NA;NA
580;5006408;103624,0772;3655503080;2,83E-05
581;5006606;127945,7365;5329066134;2,40E-05
582;5006903;148847,1311;17731290480;8,39E-06
583;5007109;250990,6752;17325444420;1,45E-05
584;5007208;241755,0216;3990556440;6,06E-05
585;5007307;65362,54197;1808269421;3,61E-05
586;5007406;271519,9091;8156679493;3,33E-05
587;5007505;44823,12247;1562042661;2,87E-05
588;5007554;67404,49642;6140084315;1,10E-05
589;5007695;77191,96361;3868315569;2,00E-05
590;5007703;NA;NA;NA
591;5007901;167629,4482;5288221286;3,17E-05
592;5007935;88454,76506;4079853983;2,17E-05
593;5007950;NA;NA;NA
594;5007976;19945,14257;1041867322;1,91E-05
595;5008008;86978,61741;2842408567;3,06E-05
596;5008305;248851,3185;10203047559;2,44E-05
597;5008404;20882,83302;310451288,6;6,73E-05
598;5100102;45070,31231;845797092,7;5,33E-05
599;5100300;134562,8457;5519505721;2,44E-05
600;5100409;99399,01146;3752127695;2,65E-05
601;5100508;91054,51292;1844888430;4,94E-05
602;5100607;NA;NA;NA
603;5101209;NA;NA;NA
604;5101258;NA;NA;NA
605;5101308;NA;NA;NA
606;5101605;NA;NA;NA
607;5101704;10311,6877;6056338797;1,70E-06
608;5101803;306630,5086;9077756460;3,38E-05
609;5102504;425552,9491;24563258517;1,73E-05
610;5102678;216576,5822;4784051309;4,53E-05
611;5103007;130818,7235;6487984660;2,02E-05
612;5103361;79477,33086;2674258947;2,97E-05
613;5103403;325118,6607;3290240708;9,88E-05
614;5103437;NA;NA;NA
615;5103452;NA;NA;NA
616;5103601;87508,36742;2205510887;3,97E-05
617;5103809;21117,36083;899274125;2,35E-05
618;5103908;168604,6564;3798219770;4,44E-05
619;5103957;52188,50144;853583558,4;6,11E-05
620;5104203;13500,37613;5067331930;2,66E-06
621;5104500;NA;NA;NA
622;5104609;76236,75509;8729995227;8,73E-06
623;5104807;122687,4155;1677334173;7,31E-05
624;5104906;79225,76311;1017738780;7,78E-05
625;5105002;32176,61521;1302145783;2,47E-05
626;5105200;191479,3305;2269136434;8,44E-05
627;5105234;NA;NA;NA
628;5105622;47919,59724;1076570485;4,45E-05
629;5106109;300545,1356;4953808306;6,07E-05
630;5106208;NA;NA;NA
631;5106232;NA;NA;NA
632;5106281;NA;NA;NA
633;5106372;106324,2716;4114044541;2,58E-05
634;5106455;NA;NA;NA
635;5106505;208687,9786;17128110520;1,22E-05
636;5106653;94801,70326;2738916431;3,46E-05
637;5106703;NA;NA;NA
638;5106752;207758,6226;8566422935;2,43E-05
639;5106828;93209,83308;5811799342;1,60E-05
640;5106851;NA;NA;NA
641;5107008;123443,245;6908900926;1,79E-05
642;5107040;110616,7784;5489835902;2,01E-05
643;5107107;NA;NA;NA
644;5107156;NA;NA;NA
645;5107198;NA;NA;NA
646;5107206;NA;NA;NA
647;5107263;NA;NA;NA
648;5107297;NA;NA;NA
649;5107404;24206,5591;343177077,1;7,05E-05
650;5107602;239784,5562;4162190496;5,76E-05
651;5107750;NA;NA;NA
652;5107792;NA;NA;NA
653;5107800;545874,3967;12140429541;4,50E-05
