"";"ibge";"cen.saude";"cen.saude.ba";"cen.saude.ba.adj";"mod.saude";"mod.saude.ba";"mod.saude.ba.adj";"degree.saude";"degree.saude.ba";"polo.saude"
"2904100";"2904100";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2904209";"2904209";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2904308";"2904308";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2904407";"2904407";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2904506";"2904506";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2904605";"2904605";0;0;1,42835165895493e-17;2;5;1;3;3;"YES"
"2904704";"2904704";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2904753";"2904753";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2904803";"2904803";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2904852";"2904852";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2904902";"2904902";0;0;9,91197954876982e-18;2;3;2;3;3;"YES"
"2905008";"2905008";0;0;6,10414293438812e-18;2;14;10;1;1;"YES"
"2905107";"2905107";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2905156";"2905156";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2905206";"2905206";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2905305";"2905305";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2905404";"2905404";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2905503";"2905503";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2905602";"2905602";0;0;6,47260226644374e-18;2;7;7;1;1;"YES"
"2905800";"2905800";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2905909";"2905909";6,69473665686118e-19;0;0;12;22;15;0;0;"NO"
"2906006";"2906006";0;0;6,64497347120999e-18;2;13;5;1;1;"YES"
"2906105";"2906105";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2906204";"2906204";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2906303";"2906303";6,69473665686118e-19;0;0;2;19;16;0;0;"NO"
"2906402";"2906402";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2906600";"2906600";6,69473665686118e-19;0;0;27;16;10;0;0;"NO"
"2906709";"2906709";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2906808";"2906808";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2906824";"2906824";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2906857";"2906857";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2906873";"2906873";0;0;6,68647808562545e-18;2;3;2;1;1;"YES"
"2906899";"2906899";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2906907";"2906907";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2907004";"2907004";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2907103";"2907103";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2907202";"2907202";6,69473665686118e-19;0;0;2;23;5;0;0;"NO"
"2907301";"2907301";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2907400";"2907400";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2907509";"2907509";0;0;4,69256252778882e-18;2;3;2;1;1;"YES"
"2907558";"2907558";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2907608";"2907608";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2907707";"2907707";6,69473665686118e-19;0;0;2;3;5;0;0;"NO"
"2907806";"2907806";0;0;5,84452733605467e-18;2;17;11;1;1;"YES"
"2907905";"2907905";6,69473665686118e-19;0;0;2;1;2;0;0;"NO"
"2908002";"2908002";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2908101";"2908101";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2908200";"2908200";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2908309";"2908309";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2908408";"2908408";0;0;2,17907696010641e-17;2;3;2;5;5;"YES"
"2908507";"2908507";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2908606";"2908606";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2908705";"2908705";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2908804";"2908804";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2908903";"2908903";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2909000";"2909000";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2909109";"2909109";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2909208";"2909208";6,69473665686118e-19;0;0;25;24;11;0;0;"NO"
"2909307";"2909307";3,63059497016874e-19;0;1,98929922827409e-17;2;4;4;1;1;"YES"
"2909406";"2909406";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2909505";"2909505";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2909604";"2909604";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2909703";"2909703";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2909802";"2909802";0;0;5,85596228084261e-18;2;6;6;1;1;"YES"
"2909901";"2909901";6,69473665686118e-19;0;0;2;25;5;0;0;"NO"
"2910008";"2910008";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2910107";"2910107";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2910206";"2910206";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2910305";"2910305";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2910404";"2910404";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2910503";"2910503";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2910602";"2910602";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2910701";"2910701";0;0;1,32509834268463e-17;2;3;2;3;3;"YES"
"2910727";"2910727";0;0;4,64953325406831e-17;2;10;12;8;7;"YES"
"2910750";"2910750";6,69473665686118e-19;0;0;2;17;11;0;0;"NO"
"2910776";"2910776";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2910859";"2910859";6,69473665686118e-19;0;0;2;9;5;0;0;"NO"
"2910909";"2910909";6,69473665686118e-19;0;0;2;7;1;0;0;"NO"
"2911006";"2911006";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2911105";"2911105";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2911204";"2911204";0;0;1,27749509104894e-17;2;6;6;2;2;"YES"
"2911253";"2911253";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2911303";"2911303";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2911402";"2911402";6,69473665686118e-19;0;0;2;1;13;0;0;"NO"
"2911501";"2911501";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2911659";"2911659";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2911709";"2911709";0;0;1,00065084256834e-16;2;16;1;20;20;"YES"
"2911808";"2911808";6,69473665686118e-19;0;0;2;10;12;0;0;"NO"
"2911857";"2911857";6,69473665686118e-19;0;0;2;1;11;0;0;"NO"
"2911907";"2911907";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2912004";"2912004";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2912103";"2912103";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2912202";"2912202";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2912301";"2912301";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2912400";"2912400";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2912509";"2912509";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2912608";"2912608";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2912707";"2912707";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2912806";"2912806";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2912905";"2912905";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2913002";"2913002";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2913101";"2913101";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2913200";"2913200";0;0;1,46096242742422e-17;2;4;4;2;2;"YES"
"2913309";"2913309";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2913408";"2913408";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2913457";"2913457";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2913507";"2913507";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2913606";"2913606";0;0,707106781186548;0,707106781186547;2;19;16;6;6;"YES"
"2913705";"2913705";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2913804";"2913804";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2913903";"2913903";0;0;1,15806344548608e-17;2;8;8;3;3;"YES"
"2914000";"2914000";0;0;6,51707149617459e-18;2;3;2;1;1;"YES"
"2914109";"2914109";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2914208";"2914208";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2914307";"2914307";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2914406";"2914406";0;0;1,90726408733251e-17;2;2;3;1;1;"YES"
"2914505";"2914505";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2914604";"2914604";0;0;4,7819414443831e-16;2;2;3;25;25;"YES"
"2914653";"2914653";6,69473665686118e-19;0;0;2;10;12;0;0;"NO"
"2914703";"2914703";0;0;6,40018094945349e-17;2;3;2;11;11;"YES"
"2914802";"2914802";0;0,707106781186547;0,707106781186547;2;7;7;37;37;"YES"
"2914901";"2914901";6,69473665686118e-19;0;0;2;19;16;0;0;"NO"
"2915007";"2915007";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2915106";"2915106";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2915205";"2915205";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2915304";"2915304";6,69473665686118e-19;0;0;2;10;12;0;0;"NO"
"2915353";"2915353";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2915403";"2915403";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2915502";"2915502";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2915601";"2915601";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2915700";"2915700";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2915809";"2915809";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2915908";"2915908";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2916005";"2916005";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2916203";"2916203";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2916302";"2916302";6,69473665686118e-19;0;0;2;10;12;0;0;"NO"
"2916401";"2916401";0;0;3,02119711626664e-17;2;5;1;6;6;"YES"
"2916500";"2916500";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2916609";"2916609";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2916708";"2916708";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2916807";"2916807";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2916856";"2916856";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2916906";"2916906";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2917003";"2917003";6,69473665686118e-19;0;0;2;9;5;0;0;"NO"
"2917102";"2917102";0;0;5,58957041893113e-18;2;7;1;1;1;"YES"
"2917201";"2917201";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2917300";"2917300";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2917334";"2917334";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2917359";"2917359";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2917409";"2917409";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2917508";"2917508";0;0;5,377981588707e-17;2;3;2;15;15;"YES"
"2917607";"2917607";0;0;6,02240425497808e-18;2;8;8;1;1;"YES"
"2917706";"2917706";6,69473665686118e-19;0;0;2;9;5;0;0;"NO"
"2917805";"2917805";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2917904";"2917904";6,69473665686118e-19;0;0;25;12;11;0;0;"NO"
"2918001";"2918001";0;0;6,27075431511304e-17;2;8;8;19;19;"YES"
"2918100";"2918100";6,69473665686118e-19;0;0;2;1;2;0;0;"NO"
"2918209";"2918209";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2918308";"2918308";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2918357";"2918357";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2918456";"2918456";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2918506";"2918506";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2918555";"2918555";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2918605";"2918605";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2918704";"2918704";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2918753";"2918753";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2918803";"2918803";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2918902";"2918902";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2919009";"2919009";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2919058";"2919058";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2919108";"2919108";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2919157";"2919157";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2919306";"2919306";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2919405";"2919405";6,69473665686118e-19;0;0;2;14;10;0;0;"NO"
"2919504";"2919504";0;0;1,19499408198637e-17;2;5;1;3;3;"YES"
"2919553";"2919553";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2919603";"2919603";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2919702";"2919702";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2919801";"2919801";0;0;5,41338756590223e-18;2;5;1;1;1;"YES"
"2919900";"2919900";6,69473665686118e-19;0;0;2;3;5;0;0;"NO"
"2919959";"2919959";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2920007";"2920007";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2920106";"2920106";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2920205";"2920205";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2920304";"2920304";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2920403";"2920403";6,69473665686118e-19;0;0;2;8;8;0;0;"NO"
"2920452";"2920452";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2920502";"2920502";0;0;5,82589261121508e-18;2;8;8;1;1;"YES"
"2920601";"2920601";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2920700";"2920700";6,69473665686118e-19;0;0;2;19;16;0;0;"NO"
"2920809";"2920809";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2920908";"2920908";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2921054";"2921054";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2921104";"2921104";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
