"";"icao";"uf";"ibge";"long";"lat";"nat.centrality";"nat.module";"int.centrality";"int.module";"nat.degree";"int.degree";"dif.degree";"nat.strength";"int.strength";"dif.strength";"nat.fligths";"int.fligths";"n.nat.fligths";"n.int.fligths"
"255";"SNMJ";"BA";2920502;-13,38611111;-40,46611111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"256";"SNMK";"MG";3135050;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"257";"SNMU";"BA";2922003;-39,86420059;-18,0489006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"258";"SNMX";"ES";3204906;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"259";"SNOB";"CE";2312908;-40,336802;-3,67889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"260";"SNPC";"PI";2208007;-41,52370071;-7,062059879;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"261";"SNPD";"MG";3148004;-46,49119949;-18,67280006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"262";"SNPG";"AP";1600535;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"263";"SNPJ";"MG";3148103;-46,983;-18,909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"264";"SNPP";"BA";2905404;-13,43694444;-38,9225;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"265";"SNPV";"PA";1501303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"266";"SNPY";"MG";3164704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"267";"SNQD";"PB";2516201;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"268";"SNQG";"PI";2203909;-43,07730103;-6,846389771;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"269";"SNRU";"PE";2604106;-36,01350021;-8,282389641;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"270";"SNSM";"PA";1506203;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"271";"SNSW";"PA";1507904;-48,52099991;-0,699431002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
