"";"ibge";"dist.ilheus";"dist.ssa";"dist.min.ilh.ssa";"dist.min.loc";"dist.min.nat";"dist.min.int";"dist.min.nat.wint";"nat.airport";"loc.airport"
"150";"2907301";233,310548822815;114,752951240191;114,752951240191;74,3224792157169;74,3224792157169;114,752951240191;74,3224792157169;"NO";"NO"
"151";"2907400";674,928320687222;696,691243027867;674,928320687222;39,7562442710501;39,7562442710501;696,691243027867;39,7562442710501;"NO";"NO"
"152";"2907509";282,711167031653;64,4885233965001;64,4885233965001;55,3123987055471;64,4885233965001;64,4885233965001;123,596948112324;"NO";"NO"
"153";"2907558";395,802960156116;434,963199756774;395,802960156116;117,302059276697;140,386889952491;434,963199756774;140,386889952491;"NO";"NO"
"154";"2907608";524,448119864904;455,230845150395;455,230845150395;172,325754773153;172,325754773153;455,230845150395;172,325754773153;"NO";"NO"
"155";"2907707";613,563380278835;413,286147794274;413,286147794274;104,084867968704;104,084867968704;413,286147794274;104,084867968704;"NO";"NO"
"156";"2907806";480,097105637941;265,286895844872;265,286895844872;125,079586951151;125,079586951151;265,286895844872;125,079586951151;"NO";"NO"
"157";"2907905";413,390418256605;199,780732219699;199,780732219699;127,409995870981;191,704556105813;199,780732219699;191,704556105813;"NO";"NO"
"158";"2908200";255,45632986136;85,8182274466331;85,8182274466331;35,3844068341872;85,8182274466331;85,8182274466331;87,3144309839304;"NO";"NO"
"159";"2908309";218,015396121462;99,9608553448857;99,9608553448857;55,7378463202301;55,7378463202301;99,9608553448857;55,7378463202301;"NO";"NO"
"160";"2908408";365,495584267179;184,261130679197;184,261130679197;84,4645820240601;184,261130679197;184,261130679197;198,666976847108;"NO";"NO"
"161";"2908507";275,999316576629;77,7475884464214;77,7475884464214;23,6264343775604;77,7475884464214;77,7475884464214;109,534036271483;"NO";"NO"
"162";"2908606";361,723699964528;138,558362476649;138,558362476649;138,558362476649;138,558362476649;138,558362476649;216,242321560768;"NO";"NO"
"163";"2908804";247,199383117276;317,301395217132;247,199383117276;116,044264456265;116,044264456265;317,301395217132;116,044264456265;"NO";"NO"
"164";"2908903";289,117057352447;91,9405504340427;91,9405504340427;13,0912242657745;91,9405504340427;91,9405504340427;121,829495189098;"NO";"NO"
"165";"2909109";586,959852670379;663,368350789375;586,959852670379;121,329696326549;203,944178120153;638,881457103088;203,944178120153;"NO";"NO"
"166";"2909208";516,863940912043;295,162935384187;295,162935384187;100,717489371124;100,717489371124;295,162935384187;100,717489371124;"NO";"NO"
"167";"2909307";702,856796607488;769,132979796529;702,856796607488;159,183157193433;159,183157193433;754,526418050419;159,183157193433;"NO";"NO"
"168";"2909406";668,674823187329;666,528111361692;666,528111361692;84,614610319059;84,614610319059;666,528111361692;84,614610319059;"NO";"NO"
"169";"2909505";174,067313932407;168,438117202943;168,438117202943;86,9527376325263;86,9527376325263;168,438117202943;86,9527376325263;"NO";"NO"
"170";"2909604";377,846198693504;155,892573312694;155,892573312694;111,163906655489;155,892573312694;155,892573312694;217,270222171379;"NO";"NO"
"171";"2909703";635,710789862699;649,947875264635;635,710789862699;82,639047949374;82,639047949374;649,947875264635;82,639047949374;"NO";"NO"
"172";"2909802";236,003412739427;90,0011900726344;90,0011900726344;58,333983439275;69,0894600901094;90,0011900726344;69,0894600901094;"NO";"NO"
"173";"2909901";622,725468190489;433,00305827824;433,00305827824;154,766513129613;154,766513129613;433,00305827824;154,766513129613;"NO";"NO"
"174";"2910057";258,108580809128;34,2545299004879;34,2545299004879;34,2545299004879;34,2545299004879;34,2545299004879;108,826918026274;"NO";"NO"
"175";"2910107";307,872692337744;381,818346389778;307,872692337744;118,283169739097;144,180243414687;381,818346389778;144,180243414687;"NO";"NO"
"176";"2910206";211,226838570795;91,9641014027261;91,9641014027261;46,7395032930717;46,7395032930717;91,9641014027261;46,7395032930717;"NO";"NO"
"177";"2910305";214,841557039522;130,67095236912;130,67095236912;70,37483166897;70,37483166897;130,67095236912;70,37483166897;"NO";"NO"
"178";"2910503";321,864422051839;97,3216606621607;97,3216606621607;94,8248945327721;97,3216606621607;97,3216606621607;170,097863097181;"NO";"NO"
"179";"2910602";341,965049909368;117,560097863454;117,560097863454;114,706329089956;117,560097863454;117,560097863454;192,532353855306;"NO";"NO"
"180";"2910701";481,404626467928;277,839615722554;277,839615722554;138,562254054494;138,562254054494;277,839615722554;138,562254054494;"NO";"NO"
